ticker,name,logoid,close,volume|5,Value.Traded|5,average_volume_10d_calc|5,MACD.hist,KltChnl.lower,KltChnl.upper,BB.lower,BB.upper,ATR,SMA20,KltChnl.lower|1,KltChnl.upper|1,BB.lower|1,BB.upper|1,ATR|1,SMA20|1,KltChnl.lower|5,KltChnl.upper|5,BB.lower|5,BB.upper|5,ATR|5,SMA20|5,KltChnl.lower|15,KltChnl.upper|15,BB.lower|15,BB.upper|15,ATR|15,SMA20|15,KltChnl.lower|30,KltChnl.upper|30,BB.lower|30,BB.upper|30,ATR|30,SMA20|30,KltChnl.lower|60,KltChnl.upper|60,BB.lower|60,BB.upper|60,ATR|60,SMA20|60,KltChnl.lower|120,KltChnl.upper|120,BB.lower|120,BB.upper|120,ATR|120,SMA20|120,KltChnl.lower|240,KltChnl.upper|240,BB.lower|240,BB.upper|240,ATR|240,SMA20|240,KltChnl.lower|1W,KltChnl.upper|1W,BB.lower|1W,BB.upper|1W,ATR|1W,SMA20|1W,KltChnl.lower|1M,KltChnl.upper|1M,BB.lower|1M,BB.upper|1M,ATR|1M,SMA20|1M,fired_timeframe,previous_volatility,current_volatility,volatility_increased,encodedTicker,URL,logo,rvol,momentum,SqueezeCount,highest_tf,squeeze_strength,HeatmapScore
NSE:RELIANCE,RELIANCE,reliance-industrial-infrastructure,1378.7,1,1378.6,71177.4,-0.9166974845067815,1355.829707183331,1420.8360588341582,1355.1908738899706,1416.4391261100272,17.29055878190037,1385.814999999999,1381.6534786293798,1385.1349597129763,1378.1440846814594,1391.1459153185433,0.8031038219823602,1384.6450000000013,1379.8217369213492,1387.6274622445933,1379.2798915193218,1389.4201084806743,1.9164873881852087,1384.349999999998,1373.7199609155332,1389.172276724507,1372.4426396473878,1388.9573603526142,3.7461253371629284,1380.700000000001,1369.2123053266832,1390.5625567435673,1368.108061209136,1387.4519387908686,5.1323062445381895,1377.7800000000022,1367.1353391135353,1394.5117262516333,1368.822631104938,1387.557368895063,6.666500151286447,1378.1900000000005,1367.7906541406733,1400.3062479800137,1369.9136889346037,1395.066311065395,8.01306346441442,1382.4899999999993,1365.1113757043568,1411.5151821817662,1367.5126084325575,1424.2873915674422,11.657345889703805,1395.8999999999999,1297.465977171148,1485.7243856271925,1322.4296062353164,1520.2003937646841,50.340723745308495,1421.3150000000003,1100.8350580050549,1603.703834149206,1191.9245958009694,1601.4429141990315,123.9204498139446,1396.6837550000005,Monthly,8.98625451877771,8.98820989438925,True,NSE%3ARELIANCE,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ARELIANCE,https://s3-symbol-logo.tradingview.com/reliance-industrial-infrastructure.svg,1.4049403321840922e-05,Bearish,1,Monthly,FIRED,-1.0000140494033218
NSE:RBLBANK,RBLBANK,rbl-bank,278.4,100,27830.0,131082.6,0.20341005871672913,255.68129299725132,283.98671617040674,264.65631073244,277.64868926756,7.299147336979602,271.1525,278.1340813080468,279.391793027212,278.1206759844279,279.5993240155719,0.3216075206078833,278.8599999999999,276.73411480741095,279.38411331111126,276.57796971681773,280.03703028318205,0.7020702021901982,278.3074999999999,273.3921041800134,279.00304861643616,270.10727696574276,280.3077230342579,1.380440636500934,275.2075000000003,271.2042305964612,279.22091534930297,271.0672288202593,278.9727711797409,1.9475858510357222,275.0200000000001,269.2803550142893,279.50522151943505,269.44510778251697,278.954892217483,2.5575038387928646,274.2,266.8956668567972,280.3680558165487,266.2008123339143,279.16418766608535,3.4284227752826917,272.68249999999983,261.6300293289465,282.5935714448771,266.88737757246787,277.09762242753203,5.322255413470875,271.99249999999995,220.77217074092323,279.2265198445663,208.2254822671062,293.8855177328937,15.000662760403975,251.05549999999994,153.37022086802023,286.6269864809642,135.7479085118582,302.64509048814165,34.875244954820985,219.19649949999993,1H,0.913020328309873,0.9186436202560577,True,NSE%3ARBLBANK,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ARBLBANK,https://s3-symbol-logo.tradingview.com/rbl-bank.svg,0.0007628777579938145,Bullish,1,1H,FIRED,1.0007628777579938
NSE:BPCL,BPCL,bharat-petroleum,334.9,5,1674.5,76443.3,1.537324515187601,308.9665931150355,339.203701408861,308.23049476175686,334.90950523824233,7.396670976989548,321.5699999999996,334.803267486584,335.69114261869606,334.7543657971908,335.73063420280965,0.2469083540738835,335.24250000000023,333.29561838443334,336.55038280441323,333.8507055300383,338.2792944699625,0.8839543557708655,336.0650000000004,327.80867809278055,335.0548988485605,318.8500689974705,340.5899310025298,1.7468747603230097,329.72000000000014,324.9673391026611,334.5921129014197,318.5532710380417,337.23672896195893,2.264938254202788,327.8950000000003,323.18893034299015,335.1773345468929,321.6765511197763,335.87844888022397,2.8752280049308068,328.77750000000015,320.9238086650851,336.34317197697254,322.492255397556,335.47274460244415,3.6790277514508523,328.9825000000001,315.8470050965037,337.5612696696385,316.95395284661237,336.3110471533875,5.119335831889217,326.63249999999994,287.66046438496136,351.0267455628403,301.41927588995605,346.53572411004455,16.57065604716499,323.9775000000003,217.14239604665505,372.4101890023738,249.45690186398784,371.27009563601206,38.11783011572844,310.36349874999996,4H,1.5274760053376748,1.528616253176834,True,NSE%3ABPCL,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ABPCL,https://s3-symbol-logo.tradingview.com/bharat-petroleum.svg,6.54079559621314e-05,Bullish,1,4H,FIRED,1.000065407955962
NSE:CANBK,CANBK,canara-bank,119.81,1,119.81,424296.7,0.7296851023245896,109.79394758084001,121.0640697445343,102.9018193987209,124.66818060127898,2.7001385360799555,113.78499999999994,119.858059258638,120.23663291834198,119.75408334453468,120.42591665546684,0.09822140059457105,120.09000000000076,119.79085781997169,120.80208939045345,119.64323210660667,121.59576789339376,0.26913941866996033,120.61950000000022,118.71758283746328,121.12912041049171,116.82516539291524,121.97183460708484,0.6019060353586231,119.39850000000004,118.23689273265082,121.80166449558153,117.43130356804609,121.94069643195336,0.8652180457167499,119.68599999999972,117.90868869589023,122.46787194861001,117.46558890986593,124.19141109013394,1.111553274681996,120.82849999999993,117.16933090622175,122.47642649417628,117.26762451712077,124.22437548287948,1.290172403885048,120.74600000000012,114.14309453037527,122.03748805818921,111.83227127654035,124.64272872345987,1.8656106541677333,118.23750000000011,97.72173283556114,122.18328054882107,102.92961832634819,120.00938167365183,6.296525576211634,111.46950000000001,70.66071422803174,131.40394424132802,85.55307349403223,129.8249267059678,14.474384792962718,107.68900010000002,Weekly,5.248854264931339,5.255425737594218,True,NSE%3ACANBK,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ACANBK,https://s3-symbol-logo.tradingview.com/canara-bank.svg,2.356841332963466e-06,Bullish,1,Weekly,FIRED,1.000002356841333
NSE:SAMMAANCAP,SAMMAANCAP,indiabulls,150.55,5,752.8499999999999,1506446.4,0.41961001821519295,125.30089291544313,147.99248238711363,131.12659968210016,145.09340031789975,5.42712112268913,138.10999999999996,150.26613162058052,151.50022327659573,150.532050381173,151.58894961882783,0.3066902556861885,151.06050000000042,147.62806268197392,150.8625350891798,147.40732010774897,151.70867989225232,0.862262509035431,149.55800000000065,141.51966612203174,148.30529225266,130.87491726234143,155.22908273765873,1.6061056265473252,143.05200000000008,137.58166858182432,146.42582099632943,129.4841468055847,150.82685319441535,2.0194574443635873,140.15550000000002,135.16942902497743,145.98069999969022,129.10667884243082,148.46432115756897,2.4858551074655795,138.7854999999999,133.55322911495415,145.968437449467,129.6604962099427,147.07450379005715,2.8608941653180797,138.36749999999992,129.37670953105942,147.63337419802838,130.58158465761792,146.31841534238166,4.16810007837217,138.4499999999998,107.1557614251451,156.18500980654642,112.08484722446721,147.16915277553252,12.596653875605599,129.62699999999987,85.37064125967834,197.0818513611501,103.12552155926593,192.91547644073407,30.019671144687557,148.020499,Weekly,8.317917244853144,8.36708992069452,True,NSE%3ASAMMAANCAP,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ASAMMAANCAP,https://s3-symbol-logo.tradingview.com/indiabulls.svg,3.319069301104905e-06,Bullish,1,Weekly,FIRED,1.0000033190693012
NSE:MAXHEALTH,MAXHEALTH,max-healthcare,1119.8,16,17924.8,55318.1,-2.325834756323644,1110.8533114052004,1209.8731028913942,1122.5528386327674,1193.8871613672336,25.8190757700308,1158.2200000000005,1121.0780568037835,1126.187219426045,1118.7182629803842,1129.9317370196145,1.2774987192023306,1124.3249999999994,1122.2057907272736,1133.3957732461452,1120.2196478413437,1140.3103521586575,2.797884471781075,1130.2650000000006,1117.902259720139,1138.2263957235748,1116.6008586324879,1137.7091413675112,5.073516591156185,1127.1549999999995,1114.723946548144,1143.1165452374469,1115.966649704666,1138.8933502953355,7.005690865966157,1127.4300000000007,1113.0712991725406,1151.1803713769739,1116.939382730211,1146.1006172697953,9.400881678597102,1131.5200000000032,1114.4051641410754,1160.1809166845062,1109.6048118463186,1170.7251881536836,11.35155006386328,1140.165000000001,1113.7500234887307,1180.7914235382104,1118.1090358972544,1183.7409641027473,16.75189646019999,1150.9250000000009,1044.5866952870517,1304.4380529308776,1099.3332079524027,1307.4767920475977,69.46264933207647,1203.4050000000002,710.6828798481145,1298.9012553483642,720.0853634229072,1299.6896375770928,139.5825007628534,1009.8875005,30m,0.6150843584148918,0.6256198308596318,True,NSE%3AMAXHEALTH,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AMAXHEALTH,https://s3-symbol-logo.tradingview.com/max-healthcare.svg,0.00028923625359511627,Bearish,1,30m,FIRED,-1.0002892362535951
NSE:MAXHEALTH,MAXHEALTH,max-healthcare,1119.8,16,17924.8,55318.1,-2.325834756323644,1110.8533114052004,1209.8731028913942,1122.5528386327674,1193.8871613672336,25.8190757700308,1158.2200000000005,1121.0780568037835,1126.187219426045,1118.7182629803842,1129.9317370196145,1.2774987192023306,1124.3249999999994,1122.2057907272736,1133.3957732461452,1120.2196478413437,1140.3103521586575,2.797884471781075,1130.2650000000006,1117.902259720139,1138.2263957235748,1116.6008586324879,1137.7091413675112,5.073516591156185,1127.1549999999995,1114.723946548144,1143.1165452374469,1115.966649704666,1138.8933502953355,7.005690865966157,1127.4300000000007,1113.0712991725406,1151.1803713769739,1116.939382730211,1146.1006172697953,9.400881678597102,1131.5200000000032,1114.4051641410754,1160.1809166845062,1109.6048118463186,1170.7251881536836,11.35155006386328,1140.165000000001,1113.7500234887307,1180.7914235382104,1118.1090358972544,1183.7409641027473,16.75189646019999,1150.9250000000009,1044.5866952870517,1304.4380529308776,1099.3332079524027,1307.4767920475977,69.46264933207647,1203.4050000000002,710.6828798481145,1298.9012553483642,720.0853634229072,1299.6896375770928,139.5825007628534,1009.8875005,1H,0.828864330981024,0.83951434886561,True,NSE%3AMAXHEALTH,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AMAXHEALTH,https://s3-symbol-logo.tradingview.com/max-healthcare.svg,0.00028923625359511627,Bearish,1,1H,FIRED,-1.0002892362535951
NSE:MOTHERSON,MOTHERSON,motherson,106.1,7,742.6999999999999,172968.8,-0.11843871437519349,98.75945651599517,110.35653886119323,92.67263328577421,115.07736671422585,2.908256647862079,103.87500000000003,106.27384161347713,106.62286307653746,106.05308240016284,106.93891759983607,0.08857652866863493,106.49599999999946,106.06171763109107,107.06919171338093,106.2065656697941,107.27243433020526,0.26141087949102637,106.73949999999968,105.12781499191308,107.15612113671378,104.52186150253513,107.41013849746511,0.5023044754000154,105.96600000000012,104.61094006922411,107.48165775256507,103.77256705568044,106.99743294431971,0.7168322913139237,105.38500000000008,104.7518352690981,108.44735539887758,103.75332219916581,108.89267780083415,0.9351318545428989,106.32299999999998,104.86071433854846,109.49816314723606,103.12033069812819,113.10266930187194,1.1674066419044915,108.11150000000006,103.22855905130437,110.37502011441144,104.86147147392417,112.28452852607602,1.7992844087507884,108.57300000000009,86.43027518407067,112.62971412489347,90.48258641657513,109.91666546142493,6.744254662801995,100.19962593900003,63.89773604933637,127.53421589627987,66.75527529399639,139.10388244900352,15.403625357910895,102.92957887149996,Weekly,6.350522281357811,6.356507693498583,True,NSE%3AMOTHERSON,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3AMOTHERSON,https://s3-symbol-logo.tradingview.com/motherson.svg,4.046972633214777e-05,Bearish,1,Weekly,FIRED,-1.000040469726332
NSE:TATAMOTORS,TATAMOTORS,tata,672.7,5,3364.0,91758.0,-5.628954983181872,659.8702256164688,722.8439167507463,665.8309431591329,731.6990568408683,15.474290634203745,698.7650000000006,673.0920070296729,674.908029565699,672.4799667815525,676.055033218445,0.45436181469622644,674.2674999999988,672.442911285392,677.2762941828778,672.2886762338101,678.8763237661913,1.3415841545757488,675.5825000000007,669.097481457096,680.4498868653258,670.5265249622707,678.5784750377284,2.905529112169083,674.5524999999996,666.116848661036,682.6567771007652,667.1646723210243,681.2603276789777,4.163383512266639,674.212500000001,665.6694798131319,687.734851679918,658.6835426954589,687.0764573045411,5.455265830675629,672.88,667.3970781801179,696.0715160174557,655.9578235018737,708.3721764981244,6.992923088391309,682.164999999999,668.0879958781684,712.1073767467203,660.9013542132669,733.8436457867343,10.539545209937014,697.3725000000006,617.0684425279063,753.1422689755628,640.7403288684917,731.1446711315076,36.42593118225734,685.9424999999997,526.6955595576239,933.8216911465486,495.5793000281307,1158.175699971869,101.07604061494045,826.8774999999999,Weekly,5.407680126385734,5.414884968374808,True,NSE%3ATATAMOTORS,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ATATAMOTORS,https://s3-symbol-logo.tradingview.com/tata.svg,5.449116153359925e-05,Bearish,1,Weekly,FIRED,-1.0000544911615337
NSE:STALLION,STALLION,stallion-india-fluorochemicals,228.24,3,683.91,176024.3,-0.5209398109478727,166.88882588254913,226.07440766558196,171.28987144928556,227.26012855071446,14.092803611053895,199.275,225.87095043598728,229.90637704935543,226.68469395484016,229.55630604516028,1.090887992567403,228.12050000000022,217.76080021798225,227.54956920286185,210.40999561480368,233.21400438519657,2.4131330409180385,221.81200000000013,207.4714400110137,223.46402146710315,192.52865954391004,230.51334045608988,3.622365839051056,211.52099999999996,202.31082206564685,222.99675003751202,195.46612760952505,225.74587239047506,4.6302252222435145,210.60600000000005,199.7019035153236,223.5346645876593,196.47886295448137,223.91513704551903,5.434863420252181,210.1970000000002,197.0925336072484,224.8402642159993,197.75690511601417,224.81109488398548,6.560826337282217,211.28399999999982,186.4706691762542,226.83925201246598,193.46419945880388,221.84580054119618,9.668748354829022,207.65500000000003,103.13732238214446,188.23744943305678,29.09250796329897,228.75849203670103,19.399980545395515,128.9255,,,,,,,4H,4.224559074946049,4.236219924127682,True,NSE%3ASTALLION,https://in.tradingview.com/chart/N8zfIJVK/?symbol=NSE%3ASTALLION,https://s3-symbol-logo.tradingview.com/stallion-india-fluorochemicals.svg,1.7043101435426813e-05,Bearish,1,4H,FIRED,-1.0000170431014355
